Fixture ID,Claim ID,Answer ID,Eval ID,Gold Label,Evidence Parcel Count
CVD-SYN-ACT-FIX-0034,V3-03-018,SYN-A003-Q003,Q003,supported,1
CVD-SYN-ACT-FIX-0035,V3-03-019,SYN-A003-Q003,Q003,supported,1
CVD-SYN-ACT-FIX-0036,V3-03-020,SYN-A003-Q003,Q003,supported,1
CVD-SYN-ACT-FIX-0037,V3-03-021,SYN-A003-Q003,Q003,supported,1
CVD-SYN-ACT-FIX-0038,V3-03-022,SYN-A003-Q003,Q003,supported,1
CVD-SYN-ACT-FIX-0039,V3-03-023,SYN-A003-Q003,Q003,supported,1
CVD-SYN-ACT-FIX-0040,V3-03-024,SYN-A003-Q003,Q003,supported,1
CVD-SYN-ACT-FIX-0041,V3-03-025,SYN-A003-Q003,Q003,supported,1
CVD-SYN-ACT-FIX-0042,V3-03-026,SYN-A003-Q003,Q003,supported,1
CVD-SYN-ACT-FIX-0043,V3-03-027,SYN-A003-Q003,Q003,supported,1
CVD-SYN-ACT-FIX-0044,V3-03-028,SYN-A003-Q003,Q003,supported,1
CVD-SYN-ACT-FIX-0045,V3-03-029,SYN-A003-Q003,Q003,supported,1
CVD-SYN-ACT-FIX-0046,V3-03-030,SYN-A003-Q003,Q003,supported,1
CVD-SYN-ACT-FIX-0047,V3-03-031,SYN-A003-Q003,Q003,supported,1
CVD-SYN-ACT-FIX-0048,V3-03-032,SYN-A003-Q003,Q003,supported,1
CVD-SYN-ACT-FIX-0049,V3-03-033,SYN-A003-Q003,Q003,supported,1
CVD-SYN-ACT-FIX-0050,V3-03-034,SYN-A003-Q003,Q003,supported,1
CVD-SYN-ACT-FIX-0051,V3-03-035,SYN-A003-Q003,Q003,supported,1
CVD-SYN-ACT-FIX-0052,V3-03-036,SYN-A003-Q003,Q003,supported,1
CVD-SYN-ACT-FIX-0053,V3-03-037,SYN-A003-Q003,Q003,supported,1
CVD-SYN-ACT-FIX-0054,V3-03-038,SYN-A003-Q003,Q003,supported,1
CVD-SYN-ACT-FIX-0055,V3-03-039,SYN-A003-Q003,Q003,supported,1
CVD-SYN-ACT-FIX-0056,V3-03-040,SYN-A003-Q003,Q003,supported,1
CVD-SYN-ACT-FIX-0057,V3-03-041,SYN-A003-Q003,Q003,supported,1
CVD-SYN-ACT-FIX-0058,V3-03-042,SYN-A003-Q003,Q003,supported,1
CVD-SYN-ACT-FIX-0059,V3-03-043,SYN-A003-Q003,Q003,supported,1
CVD-SYN-ACT-FIX-0060,V3-03-044,SYN-A003-Q003,Q003,supported,1
CVD-SYN-ACT-FIX-0061,V3-03-045,SYN-A003-Q003,Q003,supported,1
CVD-SYN-ACT-FIX-0062,V3-03-046,SYN-A003-Q003,Q003,supported,1
CVD-SYN-ACT-FIX-0063,V3-03-047,SYN-A003-Q003,Q003,supported,1
CVD-SYN-ACT-FIX-0064,V3-03-048,SYN-A003-Q003,Q003,supported,1
CVD-SYN-ACT-FIX-0065,V3-03-049,SYN-A003-Q003,Q003,supported,2
CVD-SYN-ACT-FIX-0066,V3-03-050,SYN-A003-Q003,Q003,supported,12
CVD-SYN-ACT-FIX-0067,V3-03-051,SYN-A003-Q003,Q003,supported,4
CVD-SYN-ACT-FIX-0068,V3-03-052,SYN-A003-Q003,Q003,supported,2
CVD-SYN-ACT-FIX-0069,V3-03-053,SYN-A003-Q003,Q003,supported,47
CVD-SYN-ACT-FIX-0070,V3-03-054,SYN-A003-Q003,Q003,supported,3
CVD-SYN-ACT-FIX-0071,V3-03-055,SYN-A003-Q003,Q003,supported,47
CVD-SYN-ACT-FIX-0072,V3-03-056,SYN-A003-Q003,Q003,supported,2
CVD-SYN-ACT-FIX-0073,V3-03-057,SYN-A003-Q003,Q003,supported,2
CVD-SYN-ACT-FIX-0074,V3-03-058,SYN-A003-Q003,Q003,supported,3
CVD-SYN-ACT-FIX-0075,V3-03-059,SYN-A003-Q003,Q003,supported,47
CVD-SYN-ACT-FIX-0076,V3-03-060,SYN-A003-Q003,Q003,supported,1
CVD-SYN-ACT-FIX-0077,V3-03-061,SYN-A003-Q003,Q003,supported,47
CVD-SYN-ACT-FIX-0078,V3-03-062,SYN-A003-Q003,Q003,supported,47
CVD-SYN-ACT-FIX-0079,V3-03-063,SYN-A003-Q003,Q003,supported,47
CVD-SYN-ACT-FIX-0080,V3-04-001,SYN-A004-Q004,Q004,supported,9
CVD-SYN-ACT-FIX-0081,V3-04-002,SYN-A004-Q004,Q004,supported,2
CVD-SYN-ACT-FIX-0082,V3-04-003,SYN-A004-Q004,Q004,supported,1
CVD-SYN-ACT-FIX-0083,V3-04-004,SYN-A004-Q004,Q004,supported,1
CVD-SYN-ACT-FIX-0084,V3-04-005,SYN-A004-Q004,Q004,supported,1
CVD-SYN-ACT-FIX-0085,V3-04-006,SYN-A004-Q004,Q004,supported,2
CVD-SYN-ACT-FIX-0086,V3-04-007,SYN-A004-Q004,Q004,supported,9
CVD-SYN-ACT-FIX-0087,V3-04-008,SYN-A004-Q004,Q004,supported,9
CVD-SYN-ACT-FIX-0088,V3-04-009,SYN-A004-Q004,Q004,supported,1
CVD-SYN-ACT-FIX-0089,V3-04-010,SYN-A004-Q004,Q004,supported,1
CVD-SYN-ACT-FIX-0090,V3-04-011,SYN-A004-Q004,Q004,supported,1
CVD-SYN-ACT-FIX-0091,V3-04-012,SYN-A004-Q004,Q004,supported,1
CVD-SYN-ACT-FIX-0092,V3-04-013,SYN-A004-Q004,Q004,supported,9
CVD-SYN-ACT-FIX-0093,V3-04-014,SYN-A004-Q004,Q004,supported,9
CVD-SYN-ACT-FIX-0094,V3-04-015,SYN-A004-Q004,Q004,supported,1
CVD-SYN-ACT-FIX-0095,V3-04-016,SYN-A004-Q004,Q004,supported,1
CVD-SYN-ACT-FIX-0096,V3-04-017,SYN-A004-Q004,Q004,supported,1
CVD-SYN-ACT-FIX-0097,V3-04-018,SYN-A004-Q004,Q004,supported,1
CVD-SYN-ACT-FIX-0098,V3-04-019,SYN-A004-Q004,Q004,supported,1
CVD-SYN-ACT-FIX-0099,V3-04-020,SYN-A004-Q004,Q004,supported,1
CVD-SYN-ACT-FIX-0100,V3-04-021,SYN-A004-Q004,Q004,supported,1
CVD-SYN-ACT-FIX-0101,V3-04-022,SYN-A004-Q004,Q004,supported,1
CVD-SYN-ACT-FIX-0102,V3-04-023,SYN-A004-Q004,Q004,unsupported,4
CVD-SYN-ACT-FIX-0103,V3-04-024,SYN-A004-Q004,Q004,supported,1
CVD-SYN-ACT-FIX-0104,V3-04-025,SYN-A004-Q004,Q004,supported,1
CVD-SYN-ACT-FIX-0105,V3-04-026,SYN-A004-Q004,Q004,supported,1
CVD-SYN-ACT-FIX-0106,V3-04-027,SYN-A004-Q004,Q004,supported,1
CVD-SYN-ACT-FIX-0107,V3-05-001,SYN-A005-Q005,Q005,supported,1
CVD-SYN-ACT-FIX-0108,V3-05-002,SYN-A005-Q005,Q005,supported,6
CVD-SYN-ACT-FIX-0109,V3-05-003,SYN-A005-Q005,Q005,supported,1
CVD-SYN-ACT-FIX-0110,V3-05-004,SYN-A005-Q005,Q005,supported,1
CVD-SYN-ACT-FIX-0111,V3-05-005,SYN-A005-Q005,Q005,supported,1
CVD-SYN-ACT-FIX-0112,V3-05-006,SYN-A005-Q005,Q005,supported,1
CVD-SYN-ACT-FIX-0113,V3-05-007,SYN-A005-Q005,Q005,supported,6
CVD-SYN-ACT-FIX-0114,V3-05-008,SYN-A005-Q005,Q005,supported,1
CVD-SYN-ACT-FIX-0115,V3-05-009,SYN-A005-Q005,Q005,supported,1
CVD-SYN-ACT-FIX-0116,V3-05-010,SYN-A005-Q005,Q005,supported,6
CVD-SYN-ACT-FIX-0117,V3-05-011,SYN-A005-Q005,Q005,supported,1
CVD-SYN-ACT-FIX-0118,V3-06-001,SYN-A006-Q006,Q006,supported,1
CVD-SYN-ACT-FIX-0119,V3-06-002,SYN-A006-Q006,Q006,supported,1
CVD-SYN-ACT-FIX-0120,V3-06-003,SYN-A006-Q006,Q006,supported,1
CVD-SYN-ACT-FIX-0121,V3-06-004,SYN-A006-Q006,Q006,supported,1
CVD-SYN-ACT-FIX-0122,V3-06-005,SYN-A006-Q006,Q006,supported,1
CVD-SYN-ACT-FIX-0123,V3-06-006,SYN-A006-Q006,Q006,supported,1
CVD-SYN-ACT-FIX-0124,V3-06-007,SYN-A006-Q006,Q006,supported,1
CVD-SYN-ACT-FIX-0125,V3-06-008,SYN-A006-Q006,Q006,unsupported,1
CVD-SYN-ACT-FIX-0126,V3-06-009,SYN-A006-Q006,Q006,supported,1
CVD-SYN-ACT-FIX-0127,V3-06-010,SYN-A006-Q006,Q006,supported,1
CVD-SYN-ACT-FIX-0128,V3-07-001,SYN-A007-Q007,Q007,supported,8
CVD-SYN-ACT-FIX-0129,V3-07-002,SYN-A007-Q007,Q007,supported,1
CVD-SYN-ACT-FIX-0130,V3-07-003,SYN-A007-Q007,Q007,supported,1
CVD-SYN-ACT-FIX-0131,V3-07-004,SYN-A007-Q007,Q007,supported,1
CVD-SYN-ACT-FIX-0132,V3-07-005,SYN-A007-Q007,Q007,supported,1
CVD-SYN-ACT-FIX-0133,V3-07-006,SYN-A007-Q007,Q007,supported,1
CVD-SYN-ACT-FIX-0134,V3-07-007,SYN-A007-Q007,Q007,supported,1
CVD-SYN-ACT-FIX-0135,V3-07-008,SYN-A007-Q007,Q007,supported,1
CVD-SYN-ACT-FIX-0136,V3-07-009,SYN-A007-Q007,Q007,supported,1
CVD-SYN-ACT-FIX-0137,V3-07-010,SYN-A007-Q007,Q007,supported,1
CVD-SYN-ACT-FIX-0138,V3-07-011,SYN-A007-Q007,Q007,supported,1
CVD-SYN-ACT-FIX-0139,V3-07-012,SYN-A007-Q007,Q007,supported,2
CVD-SYN-ACT-FIX-0140,V3-08-001,SYN-A008-Q008,Q008,supported,5
CVD-SYN-ACT-FIX-0141,V3-08-002,SYN-A008-Q008,Q008,supported,5
CVD-SYN-ACT-FIX-0142,V3-08-003,SYN-A008-Q008,Q008,supported,5
CVD-SYN-ACT-FIX-0143,V3-08-004,SYN-A008-Q008,Q008,unsupported,1
CVD-SYN-ACT-FIX-0144,V3-08-005,SYN-A008-Q008,Q008,unsupported,1
CVD-SYN-ACT-FIX-0145,V3-08-006,SYN-A008-Q008,Q008,supported,1
CVD-SYN-ACT-FIX-0146,V3-08-007,SYN-A008-Q008,Q008,supported,1
CVD-SYN-ACT-FIX-0147,V3-08-008,SYN-A008-Q008,Q008,supported,1
CVD-SYN-ACT-FIX-0148,V3-08-009,SYN-A008-Q008,Q008,supported,1
CVD-SYN-ACT-FIX-0149,V3-08-010,SYN-A008-Q008,Q008,supported,1
CVD-SYN-ACT-FIX-0150,V3-08-011,SYN-A008-Q008,Q008,supported,1
CVD-SYN-ACT-FIX-0151,V3-08-012,SYN-A008-Q008,Q008,supported,1
CVD-SYN-ACT-FIX-0152,V3-08-013,SYN-A008-Q008,Q008,supported,1
CVD-SYN-ACT-FIX-0153,V3-08-014,SYN-A008-Q008,Q008,supported,1
CVD-SYN-ACT-FIX-0154,V3-08-015,SYN-A008-Q008,Q008,supported,1
CVD-SYN-ACT-FIX-0155,V3-08-016,SYN-A008-Q008,Q008,supported,1
CVD-SYN-ACT-FIX-0156,V3-08-017,SYN-A008-Q008,Q008,supported,1
CVD-SYN-ACT-FIX-0157,V3-08-018,SYN-A008-Q008,Q008,supported,1
CVD-SYN-ACT-FIX-0158,V3-08-019,SYN-A008-Q008,Q008,supported,1
CVD-SYN-ACT-FIX-0159,V3-08-020,SYN-A008-Q008,Q008,supported,1
CVD-SYN-ACT-FIX-0160,V3-08-021,SYN-A008-Q008,Q008,supported,1
CVD-SYN-ACT-FIX-0161,V3-08-022,SYN-A008-Q008,Q008,supported,1
CVD-SYN-ACT-FIX-0162,V3-08-023,SYN-A008-Q008,Q008,supported,1
CVD-SYN-ACT-FIX-0163,V3-08-024,SYN-A008-Q008,Q008,supported,1
CVD-SYN-ACT-FIX-0164,V3-08-025,SYN-A008-Q008,Q008,supported,1
CVD-SYN-ACT-FIX-0165,V3-08-026,SYN-A008-Q008,Q008,supported,5
CVD-SYN-ACT-FIX-0166,V3-08-027,SYN-A008-Q008,Q008,unsupported,3
CVD-SYN-ACT-FIX-0167,V3-08-028,SYN-A008-Q008,Q008,unsupported,1
CVD-SYN-ACT-FIX-0168,V3-09-001,SYN-A009-Q009,Q009,supported,1
CVD-SYN-ACT-FIX-0169,V3-09-002,SYN-A009-Q009,Q009,supported,1
CVD-SYN-ACT-FIX-0170,V3-09-003,SYN-A009-Q009,Q009,supported,1
CVD-SYN-ACT-FIX-0171,V3-09-004,SYN-A009-Q009,Q009,supported,1
CVD-SYN-ACT-FIX-0172,V3-09-005,SYN-A009-Q009,Q009,supported,1
CVD-SYN-ACT-FIX-0173,V3-09-006,SYN-A009-Q009,Q009,supported,1
CVD-SYN-ACT-FIX-0174,V3-09-007,SYN-A009-Q009,Q009,supported,1
CVD-SYN-ACT-FIX-0175,V3-09-008,SYN-A009-Q009,Q009,supported,1
CVD-SYN-ACT-FIX-0176,V3-09-009,SYN-A009-Q009,Q009,supported,1
CVD-SYN-ACT-FIX-0177,V3-09-010,SYN-A009-Q009,Q009,supported,2
CVD-SYN-ACT-FIX-0178,V3-09-011,SYN-A009-Q009,Q009,supported,1
CVD-SYN-ACT-FIX-0179,V3-09-012,SYN-A009-Q009,Q009,supported,1
CVD-SYN-ACT-FIX-0180,V3-09-013,SYN-A009-Q009,Q009,supported,1
CVD-SYN-ACT-FIX-0181,V3-09-014,SYN-A009-Q009,Q009,supported,1
CVD-SYN-ACT-FIX-0182,V3-09-015,SYN-A009-Q009,Q009,supported,1
CVD-SYN-ACT-FIX-0183,V3-09-016,SYN-A009-Q009,Q009,supported,5
CVD-SYN-ACT-FIX-0184,V3-09-017,SYN-A009-Q009,Q009,supported,5
CVD-SYN-ACT-FIX-0185,V3-09-018,SYN-A009-Q009,Q009,supported,5
CVD-SYN-ACT-FIX-0186,V3-09-019,SYN-A009-Q009,Q009,supported,5
CVD-SYN-ACT-FIX-0187,V3-09-020,SYN-A009-Q009,Q009,supported,5
CVD-SYN-ACT-FIX-0188,V3-09-021,SYN-A009-Q009,Q009,supported,5
CVD-SYN-ACT-FIX-0189,V3-10-001,SYN-A010-Q010,Q010,supported,2
CVD-SYN-ACT-FIX-0190,V3-10-002,SYN-A010-Q010,Q010,supported,2
CVD-SYN-ACT-FIX-0191,V3-10-003,SYN-A010-Q010,Q010,supported,2
CVD-SYN-ACT-FIX-0192,V3-10-004,SYN-A010-Q010,Q010,supported,2
CVD-SYN-ACT-FIX-0193,V3-10-005,SYN-A010-Q010,Q010,supported,2
CVD-SYN-ACT-FIX-0194,V3-10-006,SYN-A010-Q010,Q010,supported,2
CVD-SYN-ACT-FIX-0195,V3-10-007,SYN-A010-Q010,Q010,supported,2
CVD-SYN-ACT-FIX-0196,V3-10-008,SYN-A010-Q010,Q010,supported,2
CVD-SYN-ACT-FIX-0197,V3-10-009,SYN-A010-Q010,Q010,supported,2
CVD-SYN-ACT-FIX-0198,V3-10-010,SYN-A010-Q010,Q010,supported,2
CVD-SYN-ACT-FIX-0199,V3-10-011,SYN-A010-Q010,Q010,supported,2
CVD-SYN-ACT-FIX-0200,V3-10-012,SYN-A010-Q010,Q010,supported,2
CVD-SYN-ACT-FIX-0201,V3-10-013,SYN-A010-Q010,Q010,supported,2
CVD-SYN-ACT-FIX-0202,V3-10-014,SYN-A010-Q010,Q010,supported,2
CVD-SYN-ACT-FIX-0203,V3-10-015,SYN-A010-Q010,Q010,supported,2
CVD-SYN-ACT-FIX-0204,V3-10-016,SYN-A010-Q010,Q010,supported,2
CVD-SYN-ACT-FIX-0205,V3-10-017,SYN-A010-Q010,Q010,supported,2
CVD-SYN-ACT-FIX-0206,V3-10-018,SYN-A010-Q010,Q010,supported,2
CVD-SYN-ACT-FIX-0207,V3-10-019,SYN-A010-Q010,Q010,supported,2
CVD-SYN-ACT-FIX-0208,V3-10-020,SYN-A010-Q010,Q010,supported,2
CVD-SYN-ACT-FIX-0209,V3-10-021,SYN-A010-Q010,Q010,supported,2
CVD-SYN-ACT-FIX-0210,V3-10-022,SYN-A010-Q010,Q010,supported,2
CVD-SYN-ACT-FIX-0211,V3-10-023,SYN-A010-Q010,Q010,supported,2
CVD-SYN-ACT-FIX-0212,V3-10-024,SYN-A010-Q010,Q010,supported,2
CVD-SYN-ACT-FIX-0213,V3-10-025,SYN-A010-Q010,Q010,supported,2
CVD-SYN-ACT-FIX-0214,V3-10-026,SYN-A010-Q010,Q010,supported,2
CVD-SYN-ACT-FIX-0215,V3-10-027,SYN-A010-Q010,Q010,supported,2
CVD-SYN-ACT-FIX-0216,V3-10-028,SYN-A010-Q010,Q010,supported,2
CVD-SYN-ACT-FIX-0217,V3-10-029,SYN-A010-Q010,Q010,supported,2
CVD-SYN-ACT-FIX-0218,V3-10-030,SYN-A010-Q010,Q010,supported,2
CVD-SYN-ACT-FIX-0219,V3-10-031,SYN-A010-Q010,Q010,supported,2
CVD-SYN-ACT-FIX-0220,V3-10-032,SYN-A010-Q010,Q010,supported,2
CVD-SYN-ACT-FIX-0221,V3-10-033,SYN-A010-Q010,Q010,supported,2
CVD-SYN-ACT-FIX-0222,V3-10-034,SYN-A010-Q010,Q010,supported,2
CVD-SYN-ACT-FIX-0223,V3-10-035,SYN-A010-Q010,Q010,supported,2
CVD-SYN-ACT-FIX-0224,V3-10-036,SYN-A010-Q010,Q010,supported,2
CVD-SYN-ACT-FIX-0225,V3-11-001,SYN-A011-Q011,Q011,supported,2
CVD-SYN-ACT-FIX-0226,V3-11-002,SYN-A011-Q011,Q011,supported,2
CVD-SYN-ACT-FIX-0227,V3-11-003,SYN-A011-Q011,Q011,supported,1
CVD-SYN-ACT-FIX-0228,V3-11-004,SYN-A011-Q011,Q011,supported,2
CVD-SYN-ACT-FIX-0229,V3-11-005,SYN-A011-Q011,Q011,supported,1
CVD-SYN-ACT-FIX-0230,V3-11-006,SYN-A011-Q011,Q011,supported,7
CVD-SYN-ACT-FIX-0231,V3-11-007,SYN-A011-Q011,Q011,supported,2
CVD-SYN-ACT-FIX-0232,V3-11-008,SYN-A011-Q011,Q011,supported,7
CVD-SYN-ACT-FIX-0233,V3-11-009,SYN-A011-Q011,Q011,supported,2
CVD-SYN-ACT-FIX-0234,V3-11-010,SYN-A011-Q011,Q011,supported,1
CVD-SYN-ACT-FIX-0235,V3-11-011,SYN-A011-Q011,Q011,supported,1
CVD-SYN-ACT-FIX-0236,V3-11-012,SYN-A011-Q011,Q011,supported,2
CVD-SYN-ACT-FIX-0237,V3-11-013,SYN-A011-Q011,Q011,supported,2
CVD-SYN-ACT-FIX-0238,V3-12-001,SYN-A012-Q012,Q012,supported,50
CVD-SYN-ACT-FIX-0239,V3-12-002,SYN-A012-Q012,Q012,supported,50
CVD-SYN-ACT-FIX-0240,V3-12-003,SYN-A012-Q012,Q012,supported,50
CVD-SYN-ACT-FIX-0241,V3-12-004,SYN-A012-Q012,Q012,supported,50
CVD-SYN-ACT-FIX-0242,V3-12-005,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0243,V3-12-006,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0244,V3-12-007,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0245,V3-12-008,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0246,V3-12-009,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0247,V3-12-010,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0248,V3-12-011,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0249,V3-12-012,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0250,V3-12-013,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0251,V3-12-014,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0252,V3-12-015,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0253,V3-12-016,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0254,V3-12-017,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0255,V3-12-018,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0256,V3-12-019,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0257,V3-12-020,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0258,V3-12-021,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0259,V3-12-022,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0260,V3-12-023,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0261,V3-12-024,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0262,V3-12-025,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0263,V3-12-026,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0264,V3-12-027,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0265,V3-12-028,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0266,V3-12-029,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0267,V3-12-030,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0268,V3-12-031,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0269,V3-12-032,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0270,V3-12-033,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0271,V3-12-034,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0272,V3-12-035,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0273,V3-12-036,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0274,V3-12-037,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0275,V3-12-038,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0276,V3-12-039,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0277,V3-12-040,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0278,V3-12-041,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0279,V3-12-042,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0280,V3-12-043,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0281,V3-12-044,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0282,V3-12-045,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0283,V3-12-046,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0284,V3-12-047,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0285,V3-12-048,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0286,V3-12-049,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0287,V3-12-050,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0288,V3-12-051,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0289,V3-12-052,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0290,V3-12-053,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0291,V3-12-054,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0292,V3-12-055,SYN-A012-Q012,Q012,supported,50
CVD-SYN-ACT-FIX-0293,V3-12-056,SYN-A012-Q012,Q012,unsupported,2
CVD-SYN-ACT-FIX-0294,V3-12-057,SYN-A012-Q012,Q012,unsupported,6
CVD-SYN-ACT-FIX-0295,V3-12-058,SYN-A012-Q012,Q012,supported,1
CVD-SYN-ACT-FIX-0296,V3-13-001,SYN-A013-Q013,Q013,supported,1
CVD-SYN-ACT-FIX-0297,V3-13-002,SYN-A013-Q013,Q013,supported,1
CVD-SYN-ACT-FIX-0298,V3-13-003,SYN-A013-Q013,Q013,supported,1
CVD-SYN-ACT-FIX-0299,V3-13-004,SYN-A013-Q013,Q013,supported,10
CVD-SYN-ACT-FIX-0300,V3-13-005,SYN-A013-Q013,Q013,supported,1
CVD-SYN-ACT-FIX-0301,V3-13-006,SYN-A013-Q013,Q013,supported,1
CVD-SYN-ACT-FIX-0302,V3-13-007,SYN-A013-Q013,Q013,supported,1
